ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Male",7,"Information",2013,"2013",60860,1507,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2013,"2013",49827,1797,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2013,"2013",36498,902,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2013,"2013",39973,1056,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2013,"2013",21459,319,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2013,"2013",21967,571,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2013,"2013",62652,3163,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2013,"2013",16996,1653,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2013,"2013",30548,1434,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2013,"2013",20951,602,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2013,"2013",28435,2507,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2013,"2013",18491,580,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2013,"2013",35477,2425,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2013,"2013",51543,976,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2013,"2013",41505,1003,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2013,"2013",35097,1230,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2013,"2013",30685,431,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2013,"2013",17391,338,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2013,"2013",15144,277,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2013,"2013",42478,2126,"Los Angeles, CA","16000US0644000","los-angeles-ca"
